GeneSymbol	Hyp1	Hyp2	Norm1	Norm2
FBLIM1	912	1429	3463	2104
RPL12P14	3	0	0	3
UQCRHL	6	6	10	12
ENSG00000178715	45	55	35	29
SPEN-AS1	0	0	16	7
SPEN	2193	1667	3433	2272
ENSG00000270620	0	0	0	0
ZBTB17	99	292	159	110
ENSG00000234607	0	0	3	0
ENSG00000231353	0	0	0	0
ENSG00000275503	0	0	0	0
TBC1D3P6	0	0	0	0
SRARP	0	0	0	0
ENSG00000233078	0	0	0	0
HSPB7	4	0	5	1
CLCNKA	0	0	0	1
FAM131C2P	0	0	0	0
CLCNKB	6	22	0	0
FAM131C	0	16	2	0
EPHA2	886	1029	1699	902
EPHA2-AS1	0	24	0	2
ENSG00000224621	0	0	3	3
ARHGEF19-AS1	0	0	0	0
ARHGEF19	33	141	100	63
ENSG00000291077	2	0	3	4
ANO7L1	6	0	0	0
ENSG00000288398	22	163	75	81
CPLANE2	13	14	13	8
MT1XP1	0	0	2	0
FBXO42	373	577	1252	791
SZRD1	583	631	1265	720
RPL22P3	0	6	4	0
SPATA21	0	0	1	0
NECAP2	351	517	1314	785
LINC01772	8	26	38	39
CROCCP3	115	76	144	154
RNU1-1	0	0	0	0
ENSG00000261135	0	0	0	0
ENSG00000285853	0	0	0	0
ENSG00000224174	0	0	0	0
LINC01783	0	0	0	0
RNU1-6P	0	0	0	0
PDE4DIPP8	0	0	0	0
NBPF1	333	293	620	427
ENSG00000271732	18	0	3	2
CROCCP2	112	205	305	223
ENSG00000283773	0	0	0	0
MST1P2	17	9	10	2
ENSG00000282143	0	0	0	0
RNU1-3	0	0	0	0
ENSG00000280114	0	0	0	0
EIF1AXP1	15	10	8	4
ENSG00000290849	0	0	0	0
ESPNP	0	0	0	0
ENSG00000279151	4	0	0	0
ENSG00000282740	0	0	0	0
CROCC	69	157	244	127
ENSG00000290850	0	0	0	0
RNU1-4	0	0	0	0
CROCCP4	0	0	0	0
ENSG00000290851	7	0	13	1
MST1L	0	0	0	0
ENSG00000223643	0	0	0	0
PDE4DIPP9	0	0	0	0
MIR3675	0	0	0	0
ENSG00000228549	7	0	4	0
RNU1-5P	0	0	0	0
ENSG00000238142	33	29	36	15
ENSG00000235241	0	0	0	0
RNU1-2	0	0	0	0
ENSG00000272426	0	0	1	0
ENSG00000290122	0	0	0	0
MFAP2	472	533	1075	608
ENSG00000286898	0	0	0	0
ENSG00000226526	0	0	0	1
ATP13A2	112	389	562	196
ENSG00000288636	0	0	0	0
SDHB	851	869	1648	1070
PADI2	900	813	547	349
LINC02783	3	48	9	8
ENSG00000282843	0	0	0	0
PADI1	3	27	10	10
PADI3	0	22	0	3
MIR3972	0	0	0	0
PADI4	0	0	0	0
PADI6	0	0	0	0
RCC2-AS1	0	0	0	0
RCC2	1217	1161	5623	3808
ENSG00000290096	5	0	2	0
ARHGEF10L	32	88	158	69
LINC02810	0	0	0	0
ACTL8	0	0	0	0
ENSG00000284653	0	0	0	0
LINC01654	0	0	0	0
IGSF21	0	0	0	0
ENSG00000280222	0	0	3	0
IGSF21-AS1	0	0	0	0
ENSG00000225387	0	0	0	0
KLHDC7A	10	0	12	3
DYNLL1P3	0	0	0	0
ENSG00000225478	0	0	0	0
PAX7	4	39	38	13
TAS1R2	0	0	0	0
ALDH4A1	12	10	87	55
MIR4695	0	0	0	0
MIR1290	0	0	0	0
IFFO2	471	562	904	533
ENSG00000272084	0	0	9	0
UBR4	5261	5632	9944	6109
EMC1-AS1	2	0	2	22
EMC1	2370	2975	5152	3244
MRTO4	216	294	629	431
ENSG00000286064	0	0	0	0
AKR7L	11	1	23	19
AKR7A3	1	0	1	2
ENSG00000270728	8	44	37	47
AKR7A2	106	325	320	166
RNU6-1099P	12	0	4	0
SLC66A1	111	146	203	125
CAPZB	4234	5116	11052	7445
RN7SL277P	0	0	0	0
MICOS10	349	319	1156	828
RNU4-28P	0	0	0	0
MICOS10-DT	0	0	0	0
NBL1	120	536	368	223
MICOS10-NBL1	0	0	0	0
ENSG00000226396	17	1	3	61
HTR6	0	0	0	0
TMCO4	61	0	62	28
RNF186	0	0	0	0
RNF186-AS1	0	0	0	0
OTUD3	785	591	902	604
PLA2G2E	0	0	0	0
RN7SL304P	0	0	0	0
PLA2G2A	0	0	0	0
PLA2G5	0	0	0	0
PLA2G2D	0	0	1	0
PLA2G2F	0	0	0	0
ENSG00000227066	0	0	0	0
PLA2G2C	0	0	0	0
UBXN10	0	0	2	0
LINC01757	0	0	0	0
ENSG00000284710	0	0	0	0
VWA5B1	0	0	0	0
ENSG00000226664	0	0	0	0
LINC01141	0	0	0	2
ENSG00000226487	0	0	0	0
ENSG00000284641	0	0	0	0
ENSG00000284743	0	0	0	0
CAMK2N1	1295	1286	2050	1707
ENSG00000289402	0	0	0	0
MUL1	102	197	563	301
RPS4XP4	0	0	0	0
FAM43B	0	3	0	0
CDA	0	0	0	0
PINK1	49	50	149	75
MIR6084	0	0	0	0
PINK1-AS	67	165	235	110
DDOST	1826	3238	3630	2128
KIF17	171	92	13	17
ENSG00000235432	0	0	0	0
SH2D5	34	44	4	1
ENSG00000233069	0	0	0	0
HP1BP3	4949	4693	9484	6129
EIF4G3	3842	3724	11783	8460
RNU7-200P	0	0	0	2
MIR1256	0	0	0	0
RPS15AP6	0	0	0	0
ENSG00000236073	0	0	0	0
HSPE1P27	0	0	0	0
ENSG00000287192	0	0	3	0
ECE1	4877	5379	8305	5313
ENSG00000236936	0	0	0	0
ECE1-AS1	6	21	8	3
PPP1R11P1	0	0	0	0
PDE4DIPP10	0	0	0	0
ENSG00000236009	0	0	0	0
NBPF2P	0	1	6	0
HS6ST1P1	0	0	0	0
CROCCP5	0	0	0	0
NBPF3	275	257	305	140
PFN1P10	0	0	0	0
ALPL	57	117	203	89
ENSG00000289715	0	0	0	0
LINC02596	0	0	0	0
RAP1GAP	75	45	56	44
USP48	4461	3753	7156	5252
ENSG00000231978	0	0	0	0
LDLRAD2	0	0	4	0
HSPG2	2720	6215	2858	1384
RPL21P29	3	0	1	0
ENSG00000283234	0	0	0	0
CELA3B	0	0	0	0
ENSG00000285959	0	0	0	0
RN7SL386P	0	0	0	0
RNU6-1022P	0	0	0	0
CELA3A	0	0	0	0
RN7SL186P	0	0	0	0
RNU6-776P	0	0	0	0
LINC01635	0	0	0	0
LINC00339	1	0	40	47
ENSG00000289694	0	0	0	0
CDC42-AS1	8	0	11	11
ENSG00000285794	0	0	0	0
CDC42	225	165	178	165
CDC42-IT1	0	0	2	0
MPHOSPH6P1	0	0	11	3
WNT4	0	0	4	2
ENSG00000285873	0	0	0	0
MIR4418	0	0	0	0
PPIAP34	0	0	0	0
ENSG00000279625	0	0	0	0
ZBTB40	475	461	1202	767
ZBTB40-IT1	29	0	9	0
EPHA8	0	0	0	0
MIR6127	0	0	0	0
C1QA	0	0	0	0
ENSG00000289692	0	0	0	0
C1QC	0	0	0	0
C1QB	0	0	0	0
EPHB2	293	656	1035	603
MIR4684	0	0	0	0
ENSG00000225952	0	0	0	0
MIR4253	0	0	0	0
LACTBL1	0	0	0	0
TEX46	1	0	0	0
KDM1A	4078	3811	7479	5068
ENSG00000240553	0	0	0	0
MIR3115	0	0	0	0
ENSG00000266802	0	0	0	0
LUZP1	1207	1101	4592	3421
ENSG00000229010	0	0	0	0
RNU6-514P	0	0	0	0
RNU6-135P	0	0	0	0
ENSG00000289014	0	0	0	2
HTR1D	1	0	22	6
RPL29P6	0	0	0	0
LINC01355	351	360	319	260
ENSG00000284726	32	0	7	5
HNRNPR	4924	4623	10695	8441
ZNF436	769	911	2274	1385
ZNF436-AS1	29	90	78	64
ENSG00000271420	0	2	0	5
TCEA3	1287	1437	418	364
ENSG00000232482	0	0	6	0
ASAP3	151	446	780	506
E2F2	0	0	6	0
ENSG00000235052	2	0	0	0
ID3	47	112	324	228
ENSG00000285802	0	0	1	0
MDS2	6	0	0	0
EEF1A1P48	0	0	0	0
RPL11	17052	18253	25575	17850
ELOA-AS1	51	19	26	51
ELOA	1746	1693	2331	1681
PITHD1	487	923	1326	870
ENSG00000289835	0	0	0	3
LYPLA2	150	170	244	174
GALE	126	318	298	128
HMGCL	345	521	499	279
FUCA1	962	922	2226	1384
CNR2	0	0	0	0
BTBD6P1	0	0	0	0
ENSG00000232557	0	0	0	0
MIR378F	0	0	0	0
H3P1	0	1	1	0
PNRC2	987	1087	3569	2503
SRSF10	3628	3452	7650	5836
RPL36P5	0	0	0	0
ENSG00000225315	0	0	0	0
MYOM3	9	0	4	1
MYOM3-AS1	0	0	0	0
IL22RA1	0	0	0	0
IFNLR1	1	0	2	0
GRHL3	0	0	0	1
LINC02800	0	0	0	0
GRHL3-AS1	0	0	0	0
STPG1	62	59	175	143
NIPAL3	822	867	1384	830
ENSG00000288982	20	2	10	15
RCAN3AS	0	0	3	0
RCAN3	681	761	1160	897
NCMAP-DT	0	0	0	0
NCMAP	0	0	2	0
ENSG00000227312	0	0	0	0
SRRM1	6379	4617	5426	3778
ENSG00000284699	0	26	0	7
CLIC4	20773	18706	58452	42062
RNU6-1208P	0	0	0	0
RUNX3	7	8	9	11
MIR6731	0	0	0	0
RUNX3-AS1	0	0	0	1
ENSG00000261025	0	0	0	0
MIR4425	0	0	0	0
LINC02793	0	0	0	0
ENSG00000233755	0	0	0	0
IFITM3P7	0	0	0	0
ENSG00000231953	0	0	0	0
SYF2	2646	2747	2872	2383
ENSG00000284602	11	0	38	36
ENSG00000284657	0	25	2	0
RSRP1	2521	2290	4068	3163
ENSG00000272432	13	0	0	10
ENSG00000261349	0	0	0	1
RHD	0	0	9	2
SDHDP6	0	0	0	0
ENSG00000259984	14	0	14	7
TMEM50A	1241	1999	4740	3192
RHCE	19	3	5	12
ENSG00000238084	0	0	0	0
MACO1	1906	1843	3103	2283
LDLRAP1	220	287	496	289
ENSG00000225643	14	2	0	4
MAN1C1	119	116	174	134
ENSG00000233478	0	0	0	0
SELENON	702	1505	1224	782
ENSG00000255054	0	0	0	0
ENSG00000228172	1	25	6	13
MTFR1L	176	415	687	370
ENSG00000272478	0	0	0	0
AUNIP	6	0	42	33
ENSG00000236528	0	0	0	0
PAQR7	242	258	184	161
STMN1	4349	4352	10256	7674
SNRPFP2	0	0	0	0
ENSG00000223624	1	0	0	0
MIR3917	0	0	0	0
PAFAH2	113	97	655	487
RNU6-110P	0	0	0	0
ENSG00000252190	0	0	0	0
ENSG00000252691	0	0	0	0
EXTL1	36	39	108	101
SLC30A2	4	2	0	0
ENSG00000284309	0	0	0	0
TRIM63	20	0	0	0
PDIK1L	175	93	348	328
FAM110D	0	0	1	0
C1orf232	0	0	0	0
ZNF593OS	0	0	0	1
ZNF593	0	0	0	0
CNKSR1	0	16	2	4
CATSPER4	1	0	0	0
ZPLD2P	0	34	2	0
ENSG00000278572	0	0	0	0
CEP85	268	256	425	242
ENSG00000270733	0	0	0	0
